SvyDate,Variable,Demographic,Mean
#date,#indicator+code,#category,#indicator+value+num
2016-05-01T00:00:00,rCSI,,14.23261
2016-05-01T00:00:00,rCSI,,24.5
2016-05-01T00:00:00,rCSI,,20.53659
2016-05-01T00:00:00,rCSI,,19.43662
2016-05-01T00:00:00,rCSI,F,15.97987
2016-05-01T00:00:00,rCSI,M,13.89494
2016-05-01T00:00:00,rCSI,M,22.87273
2016-05-01T00:00:00,rCSI,M,21.59459
2016-05-01T00:00:00,rCSI,M,16.89831
2016-05-01T00:00:00,rCSI,F,18.83249
2016-05-01T00:00:00,rCSI,M,15.08016
2016-06-01T00:00:00,rCSI,,14.58954
2016-06-01T00:00:00,rCSI,,23.52941
2016-06-01T00:00:00,rCSI,,21.3
2016-06-01T00:00:00,rCSI,,21.90566
2016-06-01T00:00:00,rCSI,F,16.76
2016-06-01T00:00:00,rCSI,M,14.14439
2016-06-01T00:00:00,rCSI,M,20.68889
2016-06-01T00:00:00,rCSI,M,20.51515
2016-06-01T00:00:00,rCSI,M,20.5
2016-06-01T00:00:00,rCSI,F,19.80882
2016-06-01T00:00:00,rCSI,M,15.00993
2016-07-01T00:00:00,rCSI,,15.48665
2016-07-01T00:00:00,rCSI,,14.83784
2016-07-01T00:00:00,rCSI,,24.46575
2016-07-01T00:00:00,rCSI,,24.37143
2016-07-01T00:00:00,rCSI,,20.31579
2016-07-01T00:00:00,rCSI,F,19.0102
2016-07-01T00:00:00,rCSI,M,14.88715
2016-07-01T00:00:00,rCSI,M,23.91667
2016-07-01T00:00:00,rCSI,M,19.73077
2016-07-01T00:00:00,rCSI,M,19.58696
2016-07-01T00:00:00,rCSI,F,20.64591
2016-07-01T00:00:00,rCSI,M,15.47915
2016-09-01T00:00:00,rCSI,F,17.8619
2016-09-01T00:00:00,rCSI,M,16.23429
